time,p_max_pu
01-01-2015 00:00,0
01-01-2015 01:00,0
01-01-2015 02:00,0
01-01-2015 03:00,0
01-01-2015 04:00,0
01-01-2015 05:00,0
01-01-2015 06:00,0
01-01-2015 07:00,0
01-01-2015 08:00,0.093
01-01-2015 09:00,0.101
01-01-2015 10:00,0.078
01-01-2015 11:00,0.058
01-01-2015 12:00,0.046
01-01-2015 13:00,0.022
01-01-2015 14:00,0.01
01-01-2015 15:00,0
01-01-2015 16:00,0
01-01-2015 17:00,0
01-01-2015 18:00,0
01-01-2015 19:00,0
01-01-2015 20:00,0
01-01-2015 21:00,0
01-01-2015 22:00,0
01-01-2015 23:00,0
02-01-2015 00:00,0
02-01-2015 01:00,0
02-01-2015 02:00,0
02-01-2015 03:00,0
02-01-2015 04:00,0
02-01-2015 05:00,0
02-01-2015 06:00,0
02-01-2015 07:00,0
02-01-2015 08:00,0.019
02-01-2015 09:00,0.04
02-01-2015 10:00,0.034
02-01-2015 11:00,0.032
02-01-2015 12:00,0.031
02-01-2015 13:00,0.007
02-01-2015 14:00,0.01
02-01-2015 15:00,0
02-01-2015 16:00,0
02-01-2015 17:00,0
02-01-2015 18:00,0
02-01-2015 19:00,0
02-01-2015 20:00,0
02-01-2015 21:00,0
02-01-2015 22:00,0
02-01-2015 23:00,0
03-01-2015 00:00,0
03-01-2015 01:00,0
03-01-2015 02:00,0
03-01-2015 03:00,0
03-01-2015 04:00,0
03-01-2015 05:00,0
03-01-2015 06:00,0
03-01-2015 07:00,0
03-01-2015 08:00,0.005
03-01-2015 09:00,0.023
03-01-2015 10:00,0.024
03-01-2015 11:00,0.028
03-01-2015 12:00,0.033
03-01-2015 13:00,0.026
03-01-2015 14:00,0.015
03-01-2015 15:00,0
03-01-2015 16:00,0
03-01-2015 17:00,0
03-01-2015 18:00,0
03-01-2015 19:00,0
03-01-2015 20:00,0
03-01-2015 21:00,0
03-01-2015 22:00,0
03-01-2015 23:00,0
04-01-2015 00:00,0
04-01-2015 01:00,0
04-01-2015 02:00,0
04-01-2015 03:00,0
04-01-2015 04:00,0
04-01-2015 05:00,0
04-01-2015 06:00,0
04-01-2015 07:00,0
04-01-2015 08:00,0.075
04-01-2015 09:00,0.087
04-01-2015 10:00,0.066
04-01-2015 11:00,0.057
04-01-2015 12:00,0.028
04-01-2015 13:00,0.02
04-01-2015 14:00,0.003
04-01-2015 15:00,0
04-01-2015 16:00,0
04-01-2015 17:00,0
04-01-2015 18:00,0
04-01-2015 19:00,0
04-01-2015 20:00,0
04-01-2015 21:00,0
04-01-2015 22:00,0
04-01-2015 23:00,0
05-01-2015 00:00,0
05-01-2015 01:00,0
05-01-2015 02:00,0
05-01-2015 03:00,0
05-01-2015 04:00,0
05-01-2015 05:00,0
05-01-2015 06:00,0
05-01-2015 07:00,0
05-01-2015 08:00,0.144
05-01-2015 09:00,0.344
05-01-2015 10:00,0.529
05-01-2015 11:00,0.52
05-01-2015 12:00,0.486
05-01-2015 13:00,0.453
05-01-2015 14:00,0.299
05-01-2015 15:00,0.023
05-01-2015 16:00,0
05-01-2015 17:00,0
05-01-2015 18:00,0
05-01-2015 19:00,0
05-01-2015 20:00,0
05-01-2015 21:00,0
05-01-2015 22:00,0
05-01-2015 23:00,0
06-01-2015 00:00,0
06-01-2015 01:00,0
06-01-2015 02:00,0
06-01-2015 03:00,0
06-01-2015 04:00,0
06-01-2015 05:00,0
06-01-2015 06:00,0
06-01-2015 07:00,0
06-01-2015 08:00,0.069
