time,p_max_pu
01-01-2019 00:00,0.197
01-01-2019 01:00,0.231
01-01-2019 02:00,0.278
01-01-2019 03:00,0.3
01-01-2019 04:00,0.347
01-01-2019 05:00,0.355
01-01-2019 06:00,0.439
01-01-2019 07:00,0.492
01-01-2019 08:00,0.501
01-01-2019 09:00,0.51
01-01-2019 10:00,0.536
01-01-2019 11:00,0.524
01-01-2019 12:00,0.493
01-01-2019 13:00,0.468
01-01-2019 14:00,0.446
01-01-2019 15:00,0.472
01-01-2019 16:00,0.538
01-01-2019 17:00,0.603
01-01-2019 18:00,0.642
01-01-2019 19:00,0.682
01-01-2019 20:00,0.722
01-01-2019 21:00,0.73
01-01-2019 22:00,0.72
01-01-2019 23:00,0.722
02-01-2019 00:00,0.724
02-01-2019 01:00,0.701
02-01-2019 02:00,0.687
02-01-2019 03:00,0.698
02-01-2019 04:00,0.715
02-01-2019 05:00,0.701
02-01-2019 06:00,0.68
02-01-2019 07:00,0.661
02-01-2019 08:00,0.618
02-01-2019 09:00,0.586
02-01-2019 10:00,0.642
02-01-2019 11:00,0.669
02-01-2019 12:00,0.651
02-01-2019 13:00,0.626
02-01-2019 14:00,0.574
02-01-2019 15:00,0.561
02-01-2019 16:00,0.557
02-01-2019 17:00,0.523
02-01-2019 18:00,0.455
02-01-2019 19:00,0.362
02-01-2019 20:00,0.294
02-01-2019 21:00,0.267
02-01-2019 22:00,0.249
02-01-2019 23:00,0.233
03-01-2019 00:00,0.226
03-01-2019 01:00,0.22
03-01-2019 02:00,0.231
03-01-2019 03:00,0.241
03-01-2019 04:00,0.209
03-01-2019 05:00,0.178
03-01-2019 06:00,0.149
03-01-2019 07:00,0.129
03-01-2019 08:00,0.099
03-01-2019 09:00,0.091
03-01-2019 10:00,0.114
03-01-2019 11:00,0.155
03-01-2019 12:00,0.191
03-01-2019 13:00,0.169
03-01-2019 14:00,0.173
03-01-2019 15:00,0.233
03-01-2019 16:00,0.27
03-01-2019 17:00,0.278
03-01-2019 18:00,0.259
03-01-2019 19:00,0.231
03-01-2019 20:00,0.223
03-01-2019 21:00,0.219
03-01-2019 22:00,0.2
03-01-2019 23:00,0.194
04-01-2019 00:00,0.161
04-01-2019 01:00,0.14
04-01-2019 02:00,0.12
04-01-2019 03:00,0.1
04-01-2019 04:00,0.092
04-01-2019 05:00,0.098
04-01-2019 06:00,0.107
04-01-2019 07:00,0.12
04-01-2019 08:00,0.116
04-01-2019 09:00,0.133
04-01-2019 10:00,0.17
04-01-2019 11:00,0.219
04-01-2019 12:00,0.259
04-01-2019 13:00,0.317
04-01-2019 14:00,0.379
04-01-2019 15:00,0.41
04-01-2019 16:00,0.419
04-01-2019 17:00,0.412
04-01-2019 18:00,0.437
04-01-2019 19:00,0.437
04-01-2019 20:00,0.371
04-01-2019 21:00,0.322
04-01-2019 22:00,0.341
04-01-2019 23:00,0.395
05-01-2019 00:00,0.413
05-01-2019 01:00,0.385
05-01-2019 02:00,0.32
05-01-2019 03:00,0.357
05-01-2019 04:00,0.402
05-01-2019 05:00,0.426
05-01-2019 06:00,0.432
05-01-2019 07:00,0.44
05-01-2019 08:00,0.463
05-01-2019 09:00,0.668
05-01-2019 10:00,0.661
05-01-2019 11:00,0.607
05-01-2019 12:00,0.583
05-01-2019 13:00,0.527
05-01-2019 14:00,0.447
05-01-2019 15:00,0.436
05-01-2019 16:00,0.498
05-01-2019 17:00,0.516
05-01-2019 18:00,0.481
05-01-2019 19:00,0.47
05-01-2019 20:00,0.456
05-01-2019 21:00,0.423
05-01-2019 22:00,0.364
05-01-2019 23:00,0.339
06-01-2019 00:00,0.334
06-01-2019 01:00,0.317
06-01-2019 02:00,0.298
06-01-2019 03:00,0.27
06-01-2019 04:00,0.248
06-01-2019 05:00,0.231
06-01-2019 06:00,0.226
06-01-2019 07:00,0.212
06-01-2019 08:00,0.2
06-01-2019 09:00,0.172
06-01-2019 10:00,0.156
06-01-2019 11:00,0.16
06-01-2019 12:00,0.177
06-01-2019 13:00,0.21
06-01-2019 14:00,0.254
06-01-2019 15:00,0.297
06-01-2019 16:00,0.328
06-01-2019 17:00,0.34
06-01-2019 18:00,0.342
06-01-2019 19:00,0.32
06-01-2019 20:00,0.308
06-01-2019 21:00,0.299
06-01-2019 22:00,0.252
06-01-2019 23:00,0.254
07-01-2019 00:00,0.259
07-01-2019 01:00,0.241
07-01-2019 02:00,0.227
07-01-2019 03:00,0.227
07-01-2019 04:00,0.235
07-01-2019 05:00,0.22
07-01-2019 06:00,0.199
07-01-2019 07:00,0.202
07-01-2019 08:00,0.2
07-01-2019 09:00,0.177
07-01-2019 10:00,0.177
07-01-2019 11:00,0.18
07-01-2019 12:00,0.178
07-01-2019 13:00,0.172
07-01-2019 14:00,0.198
07-01-2019 15:00,0.275
07-01-2019 16:00,0.307
07-01-2019 17:00,0.31
07-01-2019 18:00,0.365
07-01-2019 19:00,0.419
07-01-2019 20:00,0.447
07-01-2019 21:00,0.422
07-01-2019 22:00,0.466
07-01-2019 23:00,0.503
08-01-2019 00:00,0.522
08-01-2019 01:00,0.492
08-01-2019 02:00,0.533
08-01-2019 03:00,0.553
08-01-2019 04:00,0.565
08-01-2019 05:00,0.59
08-01-2019 06:00,0.652
08-01-2019 07:00,0.694
08-01-2019 08:00,0.744
08-01-2019 09:00,0.791
08-01-2019 10:00,0.826
08-01-2019 11:00,0.84
08-01-2019 12:00,0.827
08-01-2019 13:00,0.807
08-01-2019 14:00,0.793
08-01-2019 15:00,0.779
08-01-2019 16:00,0.791
08-01-2019 17:00,0.816
08-01-2019 18:00,0.833
08-01-2019 19:00,0.829
08-01-2019 20:00,0.812
08-01-2019 21:00,0.794
08-01-2019 22:00,0.778
08-01-2019 23:00,0.776
09-01-2019 00:00,0.773
09-01-2019 01:00,0.758
09-01-2019 02:00,0.737
09-01-2019 03:00,0.72
09-01-2019 04:00,0.712
09-01-2019 05:00,0.698
09-01-2019 06:00,0.669
09-01-2019 07:00,0.635
09-01-2019 08:00,0.603
09-01-2019 09:00,0.599
09-01-2019 10:00,0.631
09-01-2019 11:00,0.619
09-01-2019 12:00,0.569
09-01-2019 13:00,0.51
09-01-2019 14:00,0.491
09-01-2019 15:00,0.507
09-01-2019 16:00,0.523
09-01-2019 17:00,0.532
09-01-2019 18:00,0.535
09-01-2019 19:00,0.547
09-01-2019 20:00,0.544
09-01-2019 21:00,0.525
09-01-2019 22:00,0.481
09-01-2019 23:00,0.448
10-01-2019 00:00,0.413
10-01-2019 01:00,0.362
10-01-2019 02:00,0.311
10-01-2019 03:00,0.296
10-01-2019 04:00,0.289
10-01-2019 05:00,0.288
10-01-2019 06:00,0.303
10-01-2019 07:00,0.264
10-01-2019 08:00,0.21
10-01-2019 09:00,0.253
10-01-2019 10:00,0.22
10-01-2019 11:00,0.18
10-01-2019 12:00,0.158
10-01-2019 13:00,0.146
10-01-2019 14:00,0.133
10-01-2019 15:00,0.132
10-01-2019 16:00,0.131
10-01-2019 17:00,0.112
10-01-2019 18:00,0.084
10-01-2019 19:00,0.054
10-01-2019 20:00,0.03
10-01-2019 21:00,0.021
10-01-2019 22:00,0.029
10-01-2019 23:00,0.047
11-01-2019 00:00,0.062
11-01-2019 01:00,0.066
11-01-2019 02:00,0.071
11-01-2019 03:00,0.079
11-01-2019 04:00,0.096
11-01-2019 05:00,0.115
11-01-2019 06:00,0.139
11-01-2019 07:00,0.17
11-01-2019 08:00,0.21
11-01-2019 09:00,0.301
11-01-2019 10:00,0.311
11-01-2019 11:00,0.287
11-01-2019 12:00,0.257
11-01-2019 13:00,0.234
11-01-2019 14:00,0.209
11-01-2019 15:00,0.23
11-01-2019 16:00,0.245
11-01-2019 17:00,0.264
11-01-2019 18:00,0.313
11-01-2019 19:00,0.362
11-01-2019 20:00,0.395
11-01-2019 21:00,0.425
11-01-2019 22:00,0.41
11-01-2019 23:00,0.425
12-01-2019 00:00,0.367
12-01-2019 01:00,0.343
12-01-2019 02:00,0.315
12-01-2019 03:00,0.328
12-01-2019 04:00,0.395
12-01-2019 05:00,0.41
12-01-2019 06:00,0.41
12-01-2019 07:00,0.404
12-01-2019 08:00,0.395
12-01-2019 09:00,0.361
12-01-2019 10:00,0.339
12-01-2019 11:00,0.403
12-01-2019 12:00,0.476
12-01-2019 13:00,0.518
12-01-2019 14:00,0.547
12-01-2019 15:00,0.55
12-01-2019 16:00,0.615
12-01-2019 17:00,0.567
12-01-2019 18:00,0.549
12-01-2019 19:00,0.51
12-01-2019 20:00,0.469
12-01-2019 21:00,0.465
12-01-2019 22:00,0.463
12-01-2019 23:00,0.465
13-01-2019 00:00,0.425
