# Renewables.ninja Wind power (Point API) - 39.239, -2.832 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""39.23851152358253"""," ""lon"": ""-2.8320312500017053"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,,,,,,,,,,,
01-01-2019 00:00,0.021,,,,,,,,,,,
01-01-2019 01:00,0.022,,,,,,,,,,,
01-01-2019 02:00,0.023,,,,,,,,,,,
01-01-2019 03:00,0.026,,,,,,,,,,,
01-01-2019 04:00,0.03,,,,,,,,,,,
01-01-2019 05:00,0.033,,,,,,,,,,,
01-01-2019 06:00,0.037,,,,,,,,,,,
01-01-2019 07:00,0.039,,,,,,,,,,,
01-01-2019 08:00,0.042,,,,,,,,,,,
01-01-2019 09:00,0.039,,,,,,,,,,,
01-01-2019 10:00,0.034,,,,,,,,,,,
01-01-2019 11:00,0.058,,,,,,,,,,,
01-01-2019 12:00,0.086,,,,,,,,,,,
01-01-2019 13:00,0.112,,,,,,,,,,,
01-01-2019 14:00,0.12,,,,,,,,,,,
01-01-2019 15:00,0.124,,,,,,,,,,,
01-01-2019 16:00,0.131,,,,,,,,,,,
01-01-2019 17:00,0.112,,,,,,,,,,,
01-01-2019 18:00,0.085,,,,,,,,,,,
01-01-2019 19:00,0.067,,,,,,,,,,,
01-01-2019 20:00,0.061,,,,,,,,,,,
01-01-2019 21:00,0.063,,,,,,,,,,,
01-01-2019 22:00,0.068,,,,,,,,,,,
01-01-2019 23:00,0.07,,,,,,,,,,,
02-01-2019 00:00,0.071,,,,,,,,,,,
02-01-2019 01:00,0.072,,,,,,,,,,,
02-01-2019 02:00,0.072,,,,,,,,,,,
02-01-2019 03:00,0.079,,,,,,,,,,,
02-01-2019 04:00,0.092,,,,,,,,,,,
02-01-2019 05:00,0.104,,,,,,,,,,,
02-01-2019 06:00,0.117,,,,,,,,,,,
02-01-2019 07:00,0.125,,,,,,,,,,,
02-01-2019 08:00,0.122,,,,,,,,,,,
02-01-2019 09:00,0.072,,,,,,,,,,,
02-01-2019 10:00,0.069,,,,,,,,,,,
02-01-2019 11:00,0.112,,,,,,,,,,,
02-01-2019 12:00,0.174,,,,,,,,,,,
02-01-2019 13:00,0.211,,,,,,,,,,,
02-01-2019 14:00,0.224,,,,,,,,,,,
02-01-2019 15:00,0.234,,,,,,,,,,,
02-01-2019 16:00,0.282,,,,,,,,,,,
02-01-2019 17:00,0.286,,,,,,,,,,,
02-01-2019 18:00,0.281,,,,,,,,,,,
02-01-2019 19:00,0.253,,,,,,,,,,,
02-01-2019 20:00,0.238,,,,,,,,,,,
02-01-2019 21:00,0.294,,,,,,,,,,,
